,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record
0,0.15939447907390916,0.3986636971046771,0.22773536895674298,0.1,0.09799341260015418,0.3300291086460546,0.15111671469740637,75,A0057
0,0.1956043956043956,0.13444108761329304,0.15935541629364366,0.1,0.08810736042849995,0.1134307321582832,0.09917809852879304,75,A1501
0,0.27207207207207207,0.8603988603988604,0.41341546885694724,0.1,0.15950584590786449,0.7451362548870865,0.2627637792845164,75,A2060
0,0.519774011299435,0.11734693877551021,0.19146722164412072,0.1,0.38309537407195887,0.08769697392274439,0.14272239203977277,75,A0054
0,0.22781569965870307,0.45563139931740615,0.3037542662116041,0.1,0.15426671432649702,0.31231180184555607,0.2065217914934411,75,A0007
0,0.6299416720674011,0.5525866969869244,0.5887341005451242,0.1,0.4777643479348143,0.4570883991339126,0.46719773064907594,75,A1063
1,0.1549421193232413,0.38752783964365256,0.2213740458015267,0.2,0.09799341260015418,0.3300291086460546,0.15111671469740637,75,A0057
1,0.189010989010989,0.1299093655589124,0.15398388540734106,0.2,0.08810736042849995,0.1134307321582832,0.09917809852879304,75,A1501
1,0.26666666666666666,0.8433048433048433,0.405201916495551,0.2,0.15950584590786449,0.7451362548870865,0.2627637792845164,75,A2060
1,0.519774011299435,0.11734693877551021,0.19146722164412072,0.2,0.38309537407195887,0.08769697392274439,0.14272239203977277,75,A0054
1,0.21928327645051193,0.43856655290102387,0.2923777019340159,0.2,0.15426671432649702,0.31231180184555607,0.2065217914934411,75,A0007
1,0.6169799092676604,0.5412166003411029,0.5766202301635371,0.2,0.4777643479348143,0.4570883991339126,0.46719773064907594,75,A1063
2,0.14247551202137132,0.35634743875278396,0.2035623409669211,0.3,0.09799341260015418,0.3300291086460546,0.15111671469740637,75,A0057
2,0.17142857142857143,0.11782477341389729,0.1396598030438675,0.3,0.08810736042849995,0.1134307321582832,0.09917809852879304,75,A1501
2,0.25405405405405407,0.8034188034188035,0.3860369609856263,0.3,0.15950584590786449,0.7451362548870865,0.2627637792845164,75,A2060
2,0.4689265536723164,0.10586734693877552,0.17273673257023933,0.3,0.38309537407195887,0.08769697392274439,0.14272239203977277,75,A0054
2,0.21160409556313994,0.4232081911262799,0.28213879408418663,0.3,0.15426671432649702,0.31231180184555607,0.2065217914934411,75,A0007
2,0.5897602073882048,0.5173393973848778,0.5511811023622047,0.3,0.4777643479348143,0.4570883991339126,0.46719773064907594,75,A1063
