,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record,evaluation,gold_standard
0,0.09495548961424333,0.07823960880195599,0.08579088471849866,0.1,0.034504678600488205,0.05577858464067959,0.04263519209924124,-100,01-02-0001,record,E1
1,0.08011869436201781,0.06601466992665037,0.07238605898123324,0.2,0.034504678600488205,0.05577858464067959,0.04263519209924124,-100,01-02-0001,record,E1
2,0.050445103857566766,0.04156479217603912,0.045576407506702415,0.3,0.034504678600488205,0.05577858464067959,0.04263519209924124,-100,01-02-0001,record,E1
3,0.011869436201780416,0.009779951100244499,0.010723860589812333,0.4,0.034504678600488205,0.05577858464067959,0.04263519209924124,-100,01-02-0001,record,E1
4,0.0,0.0,,0.5,0.034504678600488205,0.05577858464067959,0.04263519209924124,-100,01-02-0001,record,E1
5,0.0,0.0,,0.6,0.034504678600488205,0.05577858464067959,0.04263519209924124,-100,01-02-0001,record,E1
6,0.0,0.0,,0.7,0.034504678600488205,0.05577858464067959,0.04263519209924124,-100,01-02-0001,record,E1
7,0.0,0.0,,0.8,0.034504678600488205,0.05577858464067959,0.04263519209924124,-100,01-02-0001,record,E1
8,0.0,0.0,,0.9,0.034504678600488205,0.05577858464067959,0.04263519209924124,-100,01-02-0001,record,E1
0,0.10817941952506596,0.10024449877750612,0.10406091370558376,0.1,0.0393529003230969,0.07142563540453518,0.05074639941981865,-95,01-02-0001,record,E1
1,0.08970976253298153,0.08312958435207823,0.08629441624365483,0.2,0.0393529003230969,0.07142563540453518,0.05074639941981865,-95,01-02-0001,record,E1
2,0.055408970976253295,0.05134474327628362,0.0532994923857868,0.3,0.0393529003230969,0.07142563540453518,0.05074639941981865,-95,01-02-0001,record,E1
3,0.021108179419525065,0.019559902200488997,0.020304568527918784,0.4,0.0393529003230969,0.07142563540453518,0.05074639941981865,-95,01-02-0001,record,E1
4,0.002638522427440633,0.0024449877750611247,0.002538071065989848,0.5,0.0393529003230969,0.07142563540453518,0.05074639941981865,-95,01-02-0001,record,E1
5,0.0,0.0,,0.6,0.0393529003230969,0.07142563540453518,0.05074639941981865,-95,01-02-0001,record,E1
6,0.0,0.0,,0.7,0.0393529003230969,0.07142563540453518,0.05074639941981865,-95,01-02-0001,record,E1
7,0.0,0.0,,0.8,0.0393529003230969,0.07142563540453518,0.05074639941981865,-95,01-02-0001,record,E1
8,0.0,0.0,,0.9,0.0393529003230969,0.07142563540453518,0.05074639941981865,-95,01-02-0001,record,E1
0,0.12895927601809956,0.1393643031784841,0.13396004700352526,0.1,0.04568080472881883,0.09656778790162363,0.062022325573209316,-90,01-02-0001,record,E1
1,0.10633484162895927,0.11491442542787286,0.11045828437132786,0.2,0.04568080472881883,0.09656778790162363,0.062022325573209316,-90,01-02-0001,record,E1
2,0.058823529411764705,0.06356968215158924,0.06110458284371328,0.3,0.04568080472881883,0.09656778790162363,0.062022325573209316,-90,01-02-0001,record,E1
3,0.024886877828054297,0.02689486552567237,0.02585193889541716,0.4,0.04568080472881883,0.09656778790162363,0.062022325573209316,-90,01-02-0001,record,E1
4,0.006787330316742082,0.007334963325183374,0.0070505287896592255,0.5,0.04568080472881883,0.09656778790162363,0.062022325573209316,-90,01-02-0001,record,E1
5,0.0,0.0,,0.6,0.04568080472881883,0.09656778790162363,0.062022325573209316,-90,01-02-0001,record,E1
6,0.0,0.0,,0.7,0.04568080472881883,0.09656778790162363,0.062022325573209316,-90,01-02-0001,record,E1
7,0.0,0.0,,0.8,0.04568080472881883,0.09656778790162363,0.062022325573209316,-90,01-02-0001,record,E1
8,0.0,0.0,,0.9,0.04568080472881883,0.09656778790162363,0.062022325573209316,-90,01-02-0001,record,E1
0,0.14538310412573674,0.18092909535452323,0.16122004357298475,0.1,0.051764811611134824,0.12627252175104473,0.0734281195597181,-85,01-02-0001,record,E1
